"fish_id","feed_id","day_feed","prop_pos","ts_feeding","month","tl_mm","weight_g","w_gain","l_gain","year","arcsin_prop","id_month","date","ndate","year_f","nyear","nmonth","doy","new_time"
"T475056_1","d2feed_16",2,0.0575,2022-09-05 08:00:00,9,310,443,582,87,2022,0.24215115787296,"d2feed_16_2022",19241,19241,"2022",2022,9,249,388
"T475056_1","d2feed_17",2,0.0242825607064018,2022-09-08 10:00:00,9,310,443,582,87,2022,0.156466271616368,"d2feed_17_2022",19244,19244,"2022",2022,9,252,400
"T475056_1","d2feed_6",4,0.00097465886939571,2022-07-21 08:40:00,7,310,443,582,87,2022,0.0312246006764686,"d2feed_6_2022",19197,19197,"2022",2022,7,205,182
"T475056_1","d2feed_15",3,0.0226860254083485,2022-08-30 08:00:00,8,310,443,582,87,2022,0.151194192136136,"d2feed_15_2022",19236,19236,"2022",2022,9,244,368
"T475056_1","d2feed_11",4,0.0503919372900336,2022-08-11 09:00:00,8,310,443,582,87,2022,0.226410909016961,"d2feed_11_2022",19218,19218,"2022",2022,8,226,295
"T475056_1","d2feed_15",6,0.0347624565469293,2022-08-30 08:00:00,8,310,443,582,87,2022,0.187544408648577,"d2feed_15_2022",19239,19239,"2022",2022,9,247,380
"T475056_1","d2feed_5",3,0.0026281208935611,2022-07-18 08:30:00,7,310,443,582,87,2022,0.0512876833746841,"d2feed_5_2022",19193,19193,"2022",2022,7,201,158
"T475056_1","d2feed_1",2,0.0574204946996466,2022-06-24 10:00:00,6,310,443,582,87,2022,0.241980340307336,"d2feed_1_2022",19168,19168,"2022",2022,6,176,8
"T475056_1","d2feed_10",2,0.00338600451467269,2022-08-09 08:30:00,8,310,443,582,87,2022,0.0582222732869608,"d2feed_10_2022",19214,19214,"2022",2022,8,222,275
"T475056_1","d2feed_2",2,0.226736566186107,2022-06-30 09:00:00,6,310,443,582,87,2022,0.496292520880528,"d2feed_2_2022",19174,19174,"2022",2022,7,182,44
"T475056_1","d2feed_17",5,0.0362239297475302,2022-09-08 10:00:00,9,310,443,582,87,2022,0.191494054503786,"d2feed_17_2022",19247,19247,"2022",2022,9,255,412
"T475056_1","d2feed_12",2,0.0184971098265896,2022-08-15 09:00:00,8,310,443,582,87,2022,0.13642688946452,"d2feed_12_2022",19220,19220,"2022",2022,8,228,304
"T475056_1","d2feed_8",1,0.00102249488752556,2022-07-28 08:00:00,7,310,443,582,87,2022,0.0319819257752854,"d2feed_8_2022",19201,19201,"2022",2022,7,209,206
"T475056_1","d2feed_17",1,0.163220892274211,2022-09-08 10:00:00,9,310,443,582,87,2022,0.41589200122003,"d2feed_17_2022",19243,19243,"2022",2022,9,251,396
"T475056_1","d2feed_17",6,0.029445073612684,2022-09-08 10:00:00,9,310,443,582,87,2022,0.172449134571439,"d2feed_17_2022",19248,19248,"2022",2022,9,256,416
"T475056_1","d2feed_7",2,0.00588812561334642,2022-07-25 08:30:00,7,310,443,582,87,2022,0.0768096264638967,"d2feed_7_2022",19199,19199,"2022",2022,7,207,194
"T475056_1","d2feed_16",3,0.0171919770773639,2022-09-05 08:00:00,9,310,443,582,87,2022,0.131496813235634,"d2feed_16_2022",19242,19242,"2022",2022,9,250,392
"T475056_1","d2feed_13",4,0.00709849157054126,2022-08-18 05:30:00,8,310,443,582,87,2022,0.0843525437936223,"d2feed_13_2022",19225,19225,"2022",2022,8,233,324
